25/06/2025 17h 02m 22s --> distance : 0.537 cm , span : 41.28
25/06/2025 17h 02m 23s --> distance : 0.54 cm , span : 41.378
25/06/2025 17h 02m 24s --> distance : 0.538 cm , span : 41.378
25/06/2025 17h 02m 25s --> distance : 0.54 cm , span : 41.378
25/06/2025 17h 02m 26s --> distance : 0.535 cm , span : 41.378
25/06/2025 17h 02m 27s --> distance : 0.535 cm , span : 41.28
25/06/2025 17h 02m 28s --> distance : 0.54 cm , span : 41.378
25/06/2025 17h 02m 29s --> distance : 0.538 cm , span : 41.378
25/06/2025 17h 02m 30s --> distance : 0.536 cm , span : 41.378
25/06/2025 17h 02m 31s --> distance : 0.536 cm , span : 41.475
25/06/2025 17h 02m 32s --> distance : 0.54 cm , span : 41.378
25/06/2025 17h 02m 33s --> distance : 0.472 cm , span : 41.28
25/06/2025 17h 02m 34s --> distance : 0.423 cm , span : 41.475
25/06/2025 17h 02m 35s --> distance : 0.403 cm , span : 41.378
25/06/2025 17h 02m 36s --> distance : 0.54 cm , span : 41.28
25/06/2025 17h 02m 37s --> distance : 0.54 cm , span : 41.378
25/06/2025 17h 02m 50s --> distance : 100.0 cm , span : 100.0
25/06/2025 17h 02m 51s --> distance : 100.0 cm , span : 100.0
25/06/2025 17h 02m 52s --> distance : 13.615 cm , span : 100.0
25/06/2025 17h 02m 53s --> distance : 100.0 cm , span : 100.0
25/06/2025 17h 02m 54s --> distance : 100.0 cm , span : 100.0
25/06/2025 17h 02m 55s --> distance : 6.75 cm , span : 100.0
25/06/2025 17h 02m 56s --> distance : 3.704 cm , span : 99.902
25/06/2025 17h 02m 57s --> distance : 3.68 cm , span : 100.0
25/06/2025 17h 02m 58s --> distance : 3.62 cm , span : 99.902
25/06/2025 17h 02m 59s --> distance : 5.157 cm , span : 100.0
25/06/2025 17h 03m 00s --> distance : 100.0 cm , span : 100.0
25/06/2025 17h 03m 01s --> distance : 7.66 cm , span : 100.0
25/06/2025 17h 03m 02s --> distance : 5.994 cm , span : 78.31
25/06/2025 17h 03m 03s --> distance : 5.803 cm , span : 60.625
25/06/2025 17h 03m 04s --> distance : 6.15 cm , span : 46.556
25/06/2025 17h 03m 05s --> distance : 6.077 cm , span : 36.004
25/06/2025 17h 03m 06s --> distance : 6.082 cm , span : 24.377
25/06/2025 17h 03m 09s --> distance : 5.968 cm , span : 14.998
25/06/2025 17h 03m 10s --> distance : 5.892 cm , span : 14.704
25/06/2025 17h 03m 11s --> distance : 6.144 cm , span : 14.704
25/06/2025 17h 03m 12s --> distance : 5.546 cm , span : 14.802
25/06/2025 17h 03m 13s --> distance : 6.083 cm , span : 14.9
25/06/2025 17h 03m 14s --> distance : 5.788 cm , span : 14.704
25/06/2025 17h 03m 29s --> distance : 100.0 cm , span : 100.0
25/06/2025 17h 03m 30s --> distance : 100.0 cm , span : 100.0
25/06/2025 17h 09m 48s --> distance : 77.645 cm , span : 81.241
